title,url
Saaketh Desai,https://www.google.com/search?q=Saaketh Desai
Sadhvikas Addamane,https://www.google.com/search?q=Sadhvikas Addamane
Jeffrey Y. Tsao,https://www.google.com/search?q=Jeffrey Y. Tsao
Igal Brener,https://www.google.com/search?q=Igal Brener
Laura P. Swiler,https://www.google.com/search?q=Laura P. Swiler
Remi Dingreville,https://www.google.com/search?q=Remi Dingreville
Prasad P. Iyer,https://www.google.com/search?q=Prasad P. Iyer
#18,https://ojs.aaai.org/index.php/AAAI/article/view/31991
RingFormer: A Ring-Enhanced Graph Transformer for Organic Solar Cell Property Prediction,https://papers.cool/venue/31991@AAAI
Zhihao Ding,https://www.google.com/search?q=Zhihao Ding
Ting Zhang,https://www.google.com/search?q=Ting Zhang
Yiran Li,https://www.google.com/search?q=Yiran Li
Jieming Shi,https://www.google.com/search?q=Jieming Shi
Chen Jason Zhang,https://www.google.com/search?q=Chen Jason Zhang
#19,https://ojs.aaai.org/index.php/AAAI/article/view/31992
Knowledge Is Power: Harnessing Large Language Models for Enhanced Cognitive Diagnosis,https://papers.cool/venue/31992@AAAI
Zhiang Dong,https://www.google.com/search?q=Zhiang Dong
Fei Wu,https://www.google.com/search?q=Fei Wu
#20,https://ojs.aaai.org/index.php/AAAI/article/view/31993
FactorGCL: A Hypergraph-Based Factor Model with Temporal Residual Contrastive Learning for Stock Returns Prediction,https://papers.cool/venue/31993@AAAI
Yitong Duan,https://www.google.com/search?q=Yitong Duan
Weiran Wang,https://www.google.com/search?q=Weiran Wang
Jian Li,https://www.google.com/search?q=Jian Li
#21,https://ojs.aaai.org/index.php/AAAI/article/view/31994
How to Re-enable PDE Loss for Physical Systems Modeling Under Partial Observation,https://papers.cool/venue/31994@AAAI
Haodong Feng,https://www.google.com/search?q=Haodong Feng
Yue Wang,https://www.google.com/search?q=Yue Wang
Dixia Fan,https://www.google.com/search?q=Dixia Fan
#22,https://ojs.aaai.org/index.php/AAAI/article/view/31995
APIRL: Deep Reinforcement Learning for REST API Fuzzing,https://papers.cool/venue/31995@AAAI
Myles Foley,https://www.google.com/search?q=Myles Foley
Sergio Maffeis,https://www.google.com/search?q=Sergio Maffeis
#23,https://ojs.aaai.org/index.php/AAAI/article/view/31996
A Theoretical Framework for an Efficient Normalizing Flow-Based Solution to the Electronic Schrödinger Equation,https://papers.cool/venue/31996@AAAI
Daniel Freedman,https://www.google.com/search?q=Daniel Freedman
Eyal Rozenberg,https://www.google.com/search?q=Eyal Rozenberg
Alex Bronstein,https://www.google.com/search?q=Alex Bronstein
#24,https://ojs.aaai.org/index.php/AAAI/article/view/31997
EWMoE: An Effective Model for Global Weather Forecasting with Mixture-of-Experts,https://papers.cool/venue/31997@AAAI
Lihao Gan,https://www.google.com/search?q=Lihao Gan
Xin Man,https://www.google.com/search?q=Xin Man
Chenghong Zhang,https://www.google.com/search?q=Chenghong Zhang
Jie Shao,https://www.google.com/search?q=Jie Shao
#25,https://ojs.aaai.org/index.php/AAAI/article/view/31998
FoldToken: Learning Protein Language via Vector Quantization and Beyond,https://papers.cool/venue/31998@AAAI
Zhangyang Gao,https://www.google.com/search?q=Zhangyang Gao
Cheng Tan,https://www.google.com/search?q=Cheng Tan
Jue Wang,https://www.google.com/search?q=Jue Wang
Yufei Huang,https://www.google.com/search?q=Yufei Huang
Lirong Wu,https://www.google.com/search?q=Lirong Wu
Stan Z. Li,https://www.google.com/search?q=Stan Z. Li
#26,https://ojs.aaai.org/index.php/AAAI/article/view/31999
Each Fake News Is Fake in Its Own Way: An Attribution Multi-Granularity Benchmark for Multimodal Fake News Detection,https://papers.cool/venue/31999@AAAI
Hao Guo,https://www.google.com/search?q=Hao Guo
Zihan Ma,https://www.google.com/search?q=Zihan Ma
Zhi Zeng,https://www.google.com/search?q=Zhi Zeng
Minnan Luo,https://www.google.com/search?q=Minnan Luo
Weixin Zeng,https://www.google.com/search?q=Weixin Zeng
Jiuyang Tang,https://www.google.com/search?q=Jiuyang Tang
Xiang Zhao,https://www.google.com/search?q=Xiang Zhao
#27,https://ojs.aaai.org/index.php/AAAI/article/view/32000
HeMeNet: Heterogeneous Multichannel Equivariant Network for Protein Multi-task Learning,https://papers.cool/venue/32000@AAAI
Rong Han,https://www.google.com/search?q=Rong Han
Wenbing Huang,https://www.google.com/search?q=Wenbing Huang
Lingxiao Luo,https://www.google.com/search?q=Lingxiao Luo
Xinyan Han,https://www.google.com/search?q=Xinyan Han
Jiaming Shen,https://www.google.com/search?q=Jiaming Shen
Zhiqiang Zhang,https://www.google.com/search?q=Zhiqiang Zhang
Jun Zhou,https://www.google.com/search?q=Jun Zhou
Ting Chen,https://www.google.com/search?q=Ting Chen
#28,https://ojs.aaai.org/index.php/AAAI/article/view/32001
CoPRA: Bridging Cross-domain Pretrained Sequence Models with Complex Structures for Protein-RNA Binding Affinity Prediction,https://papers.cool/venue/32001@AAAI
Xiaohong Liu,https://www.google.com/search?q=Xiaohong Liu
Tong Pan,https://www.google.com/search?q=Tong Pan
Jing Xu,https://www.google.com/search?q=Jing Xu
Xiaoyu Wang,https://www.google.com/search?q=Xiaoyu Wang
Wuyang Lan,https://www.google.com/search?q=Wuyang Lan
Zhenyu Li,https://www.google.com/search?q=Zhenyu Li
Zixuan Wang,https://www.google.com/search?q=Zixuan Wang
Jiangning Song,https://www.google.com/search?q=Jiangning Song
Guangyu Wang,https://www.google.com/search?q=Guangyu Wang
#29,https://ojs.aaai.org/index.php/AAAI/article/view/32002
GARLIC: GPT-Augmented Reinforcement Learning with Intelligent Control for Vehicle Dispatching,https://papers.cool/venue/32002@AAAI
Xiao Han,https://www.google.com/search?q=Xiao Han
Zijian Zhang,https://www.google.com/search?q=Zijian Zhang
Xiangyu Zhao,https://www.google.com/search?q=Xiangyu Zhao
Yuanshao Zhu,https://www.google.com/search?q=Yuanshao Zhu
Guojiang Shen,https://www.google.com/search?q=Guojiang Shen
Xiangjie Kong,https://www.google.com/search?q=Xiangjie Kong
Xuetao Wei,https://www.google.com/search?q=Xuetao Wei
Liqiang Nie,https://www.google.com/search?q=Liqiang Nie
Jieping Ye,https://www.google.com/search?q=Jieping Ye
#30,https://ojs.aaai.org/index.php/AAAI/article/view/32003
Open-world Radio Frequency Fingerprint Identification via Augmented Semi-supervised Learning,https://papers.cool/venue/32003@AAAI
Zehua Han,https://www.google.com/search?q=Zehua Han
Jing Xiao,https://www.google.com/search?q=Jing Xiao
Qirui Zhao,https://www.google.com/search?q=Qirui Zhao
Zhexuan Cui,https://www.google.com/search?q=Zhexuan Cui
Yufeng Wang,https://www.google.com/search?q=Yufeng Wang
Duona Zhang,https://www.google.com/search?q=Duona Zhang
Wenrui Ding,https://www.google.com/search?q=Wenrui Ding
#31,https://ojs.aaai.org/index.php/AAAI/article/view/32004
Limitations in Employing Natural Language Supervision for Sensor-Based Human Activity Recognition - And Ways to Overcome Them,https://papers.cool/venue/32004@AAAI
Harish Haresamudram,https://www.google.com/search?q=Harish Haresamudram
Apoorva Beedu,https://www.google.com/search?q=Apoorva Beedu
Mashfiqui Rabbi,https://www.google.com/search?q=Mashfiqui Rabbi
Sankalita Saha,https://www.google.com/search?q=Sankalita Saha
Irfan Essa,https://www.google.com/search?q=Irfan Essa
Thomas Ploetz,https://www.google.com/search?q=Thomas Ploetz
#32,https://ojs.aaai.org/index.php/AAAI/article/view/32005
Hypergraph Attacks via Injecting Homogeneous Nodes into Elite Hyperedges,https://papers.cool/venue/32005@AAAI
Meixia He,https://www.google.com/search?q=Meixia He
Peican Zhu,https://www.google.com/search?q=Peican Zhu
Keke Tang,https://www.google.com/search?q=Keke Tang
Yangming Guo,https://www.google.com/search?q=Yangming Guo
#33,https://ojs.aaai.org/index.php/AAAI/article/view/32006
HHAN: Comprehensive Infectious Disease Source Tracing via Heterogeneous Hypergraph Neural Network,https://papers.cool/venue/32006@AAAI
Qiang He,https://www.google.com/search?q=Qiang He
Yunting Bao,https://www.google.com/search?q=Yunting Bao
Hui Fang,https://www.google.com/search?q=Hui Fang
Yuting Lin,https://www.google.com/search?q=Yuting Lin
Hao Sun,https://www.google.com/search?q=Hao Sun
#34,https://ojs.aaai.org/index.php/AAAI/article/view/32007
VerilogCoder: Autonomous Verilog Coding Agents with Graph-based Planning and Abstract Syntax Tree (AST)-based Waveform Tracing Tool,https://papers.cool/venue/32007@AAAI
Chia-Tung Ho,https://www.google.com/search?q=Chia-Tung Ho
Haoxing Ren,https://www.google.com/search?q=Haoxing Ren
Brucek Khailany,https://www.google.com/search?q=Brucek Khailany
#35,https://ojs.aaai.org/index.php/AAAI/article/view/32008
ViFactCheck: A New Benchmark Dataset and Methods for Multi-Domain News Fact-Checking In Vietnamese,https://papers.cool/venue/32008@AAAI
Tran Thai Hoa,https://www.google.com/search?q=Tran Thai Hoa
Tran Quang Duy,https://www.google.com/search?q=Tran Quang Duy
Khanh Quoc Tran,https://www.google.com/search?q=Khanh Quoc Tran
Kiet Van Nguyen,https://www.google.com/search?q=Kiet Van Nguyen
#36,https://ojs.aaai.org/index.php/AAAI/article/view/32009
MOL-Mamba: Enhancing Molecular Representation with Structural & Electronic Insights,https://papers.cool/venue/32009@AAAI
Jingjing Hu,https://www.google.com/search?q=Jingjing Hu
Dan Guo,https://www.google.com/search?q=Dan Guo
Zhan Si,https://www.google.com/search?q=Zhan Si
Deguang Liu,https://www.google.com/search?q=Deguang Liu
Yunfeng Diao,https://www.google.com/search?q=Yunfeng Diao
Jing Zhang,https://www.google.com/search?q=Jing Zhang
Jinxing Zhou,https://www.google.com/search?q=Jinxing Zhou
Meng Wang,https://www.google.com/search?q=Meng Wang
#37,https://ojs.aaai.org/index.php/AAAI/article/view/32010
PRAGA: Prototype-aware Graph Adaptive Aggregation for Spatial Multi-modal Omics Analysis,https://papers.cool/venue/32010@AAAI
Xinlei Huang,https://www.google.com/search?q=Xinlei Huang
Zhiqi Ma,https://www.google.com/search?q=Zhiqi Ma
Dian Meng,https://www.google.com/search?q=Dian Meng
Yanran Liu,https://www.google.com/search?q=Yanran Liu
Shiwei Ruan,https://www.google.com/search?q=Shiwei Ruan
Qingqiang Sun,https://www.google.com/search?q=Qingqiang Sun
Xubin Zheng,https://www.google.com/search?q=Xubin Zheng
Ziyue Qiao,https://www.google.com/search?q=Ziyue Qiao
#38,https://ojs.aaai.org/index.php/AAAI/article/view/32011
Social Recommendation via Graph-Level Counterfactual Augmentation,https://papers.cool/venue/32011@AAAI
Yinxuan Huang,https://www.google.com/search?q=Yinxuan Huang
Ke Liang,https://www.google.com/search?q=Ke Liang
Yanyi Huang,https://www.google.com/search?q=Yanyi Huang
Xiang Zeng,https://www.google.com/search?q=Xiang Zeng
Kai Chen,https://www.google.com/search?q=Kai Chen
Bin Zhou,https://www.google.com/search?q=Bin Zhou
#39,https://ojs.aaai.org/index.php/AAAI/article/view/32012
DF-MIA: A Distribution-Free Membership Inference Attack on Fine-Tuned Large Language Models,https://papers.cool/venue/32012@AAAI
Zhiheng Huang,https://www.google.com/search?q=Zhiheng Huang
Yannan Liu,https://www.google.com/search?q=Yannan Liu
Daojing He,https://www.google.com/search?q=Daojing He
Yu Li,https://www.google.com/search?q=Yu Li
#40,https://ojs.aaai.org/index.php/AAAI/article/view/32013
Bi-level Contrastive Learning for Knowledge-Enhanced Molecule Representations,https://papers.cool/venue/32013@AAAI
Pengcheng Jiang,https://www.google.com/search?q=Pengcheng Jiang
Cao Xiao,https://www.google.com/search?q=Cao Xiao
Tianfan Fu,https://www.google.com/search?q=Tianfan Fu
Parminder Bhatia,https://www.google.com/search?q=Parminder Bhatia
Taha Kass-Hout,https://www.google.com/search?q=Taha Kass-Hout
Jimeng Sun,https://www.google.com/search?q=Jimeng Sun
Jiawei Han,https://www.google.com/search?q=Jiawei Han
#41,https://ojs.aaai.org/index.php/AAAI/article/view/32014
Learning Generalized Residual Exchange-Correlation-Uncertain Functional for Density Functional Theory,https://papers.cool/venue/32014@AAAI
Sizhuo Jin,https://www.google.com/search?q=Sizhuo Jin
Shuo Chen,https://www.google.com/search?q=Shuo Chen
Jianjun Qian,https://www.google.com/search?q=Jianjun Qian
Ying Tai,https://www.google.com/search?q=Ying Tai
Jun Li,https://www.google.com/search?q=Jun Li
#42,https://ojs.aaai.org/index.php/AAAI/article/view/32015
IWRN:A Robust Blind Watermarking Method for Artwork Image Copyright Protection Against Noise Attack,https://papers.cool/venue/32015@AAAI
Feifei Kou,https://www.google.com/search?q=Feifei Kou
Yuhan Yao,https://www.google.com/search?q=Yuhan Yao
Siyuan Yao,https://www.google.com/search?q=Siyuan Yao
Jiahao Wang,https://www.google.com/search?q=Jiahao Wang
Lei Shi,https://www.google.com/search?q=Lei Shi
Yawen Li,https://www.google.com/search?q=Yawen Li
Xuejing Kang,https://www.google.com/search?q=Xuejing Kang
#43,https://ojs.aaai.org/index.php/AAAI/article/view/32016
AnalogCoder: Analog Circuit Design via Training-Free Code Generation,https://papers.cool/venue/32016@AAAI
Yao Lai,https://www.google.com/search?q=Yao Lai
Sungyoung Lee,https://www.google.com/search?q=Sungyoung Lee
Guojin Chen,https://www.google.com/search?q=Guojin Chen
Souradip Poddar,https://www.google.com/search?q=Souradip Poddar
Mengkang Hu,https://www.google.com/search?q=Mengkang Hu
David Z. Pan,https://www.google.com/search?q=David Z. Pan
Ping Luo,https://www.google.com/search?q=Ping Luo
#44,https://ojs.aaai.org/index.php/AAAI/article/view/32017
Political Actor Agent: Simulating Legislative System for Roll Call Votes Prediction with Large Language Models,https://papers.cool/venue/32017@AAAI
Hao Li,https://www.google.com/search?q=Hao Li
Ruoyuan Gong,https://www.google.com/search?q=Ruoyuan Gong
Hao Jiang,https://www.google.com/search?q=Hao Jiang
#45,https://ojs.aaai.org/index.php/AAAI/article/view/32018
Simulate and Eliminate: Revoke Backdoors for Generative Large Language Models,https://papers.cool/venue/32018@AAAI
Haoran Li,https://www.google.com/search?q=Haoran Li
Yulin Chen,https://www.google.com/search?q=Yulin Chen
Zihao Zheng,https://www.google.com/search?q=Zihao Zheng
Qi Hu,https://www.google.com/search?q=Qi Hu
Chunkit Chan,https://www.google.com/search?q=Chunkit Chan
Heshan Liu,https://www.google.com/search?q=Heshan Liu
Yangqiu Song,https://www.google.com/search?q=Yangqiu Song
#46,https://ojs.aaai.org/index.php/AAAI/article/view/32019
Vox-UDA: Voxel-wise Unsupervised Domain Adaptation for Cryo-Electron Subtomogram Segmentation with Denoised Pseudo-Labeling,https://papers.cool/venue/32019@AAAI
Xingjian Li,https://www.google.com/search?q=Xingjian Li
Jiahua Shi,https://www.google.com/search?q=Jiahua Shi
Huaming Chen,https://www.google.com/search?q=Huaming Chen
Bo Du,https://www.google.com/search?q=Bo Du
Daisuke Kihara,https://www.google.com/search?q=Daisuke Kihara
Johan Barthelemy,https://www.google.com/search?q=Johan Barthelemy
Jun Shen,https://www.google.com/search?q=Jun Shen
Min Xu,https://www.google.com/search?q=Min Xu
#47,https://ojs.aaai.org/index.php/AAAI/article/view/32020
ChemVLM: Exploring the Power of Multimodal Large Language Models in Chemistry Area,https://papers.cool/venue/32020@AAAI
Junxian Li,https://www.google.com/search?q=Junxian Li
Di Zhang,https://www.google.com/search?q=Di Zhang
Xunzhi Wang,https://www.google.com/search?q=Xunzhi Wang
Zeying Hao,https://www.google.com/search?q=Zeying Hao
Jingdi Lei,https://www.google.com/search?q=Jingdi Lei
Qian Tan,https://www.google.com/search?q=Qian Tan
Cai Zhou,https://www.google.com/search?q=Cai Zhou
Wei Liu,https://www.google.com/search?q=Wei Liu
Yaotian Yang,https://www.google.com/search?q=Yaotian Yang
Xinrui Xiong,https://www.google.com/search?q=Xinrui Xiong
Weiyun Wang,https://www.google.com/search?q=Weiyun Wang
Wenhai Wang,https://www.google.com/search?q=Wenhai Wang
Wei Li,https://www.google.com/search?q=Wei Li
Mao Su,https://www.google.com/search?q=Mao Su
Shufei Zhang,https://www.google.com/search?q=Shufei Zhang
Wanli Ouyang,https://www.google.com/search?q=Wanli Ouyang
Yuqiang Li,https://www.google.com/search?q=Yuqiang Li
Dongzhan Zhou,https://www.google.com/search?q=Dongzhan Zhou
#48,https://ojs.aaai.org/index.php/AAAI/article/view/32021
Critical Forgetting-Based Multi-Scale Disentanglement for Deepfake Detection,https://papers.cool/venue/32021@AAAI
Kai Li,https://www.google.com/search?q=Kai Li
Wenqi Ren,https://www.google.com/search?q=Wenqi Ren
Jianshu Li,https://www.google.com/search?q=Jianshu Li
Wei Wang,https://www.google.com/search?q=Wei Wang
Xiaochun Cao,https://www.google.com/search?q=Xiaochun Cao
#49,https://ojs.aaai.org/index.php/AAAI/article/view/32022
Learning Complex Heterogeneous Multimodal Fake News via Social Latent Network Inference,https://papers.cool/venue/32022@AAAI
Mingxin Li,https://www.google.com/search?q=Mingxin Li
Yuchen Zhang,https://www.google.com/search?q=Yuchen Zhang
Haowei Xu,https://www.google.com/search?q=Haowei Xu
Xianghua Li,https://www.google.com/search?q=Xianghua Li
Chao Gao,https://www.google.com/search?q=Chao Gao
Zhen Wang,https://www.google.com/search?q=Zhen Wang
#50,https://ojs.aaai.org/index.php/AAAI/article/view/32023
AI-Powered Algorithm-Centric Quantum Processor Topology Design,https://papers.cool/venue/32023@AAAI
Tian Li,https://www.google.com/search?q=Tian Li
Xiao-Yue Xu,https://www.google.com/search?q=Xiao-Yue Xu
Chen Ding,https://www.google.com/search?q=Chen Ding
Tian-Ci Tian,https://www.google.com/search?q=Tian-Ci Tian
Wei-You Liao,https://www.google.com/search?q=Wei-You Liao
Shuo Zhang,https://www.google.com/search?q=Shuo Zhang
He-Liang Huang,https://www.google.com/search?q=He-Liang Huang
#51,https://ojs.aaai.org/index.php/AAAI/article/view/32024
Enhancing the Adversarial Robustness via Manifold Projection,https://papers.cool/venue/32024@AAAI
Zhiting Li,https://www.google.com/search?q=Zhiting Li
Shibai Yin,https://www.google.com/search?q=Shibai Yin
Tai-Xiang Jiang,https://www.google.com/search?q=Tai-Xiang Jiang
Yexun Hu,https://www.google.com/search?q=Yexun Hu
Jia-Mian Wu,https://www.google.com/search?q=Jia-Mian Wu
Guowei Yang,https://www.google.com/search?q=Guowei Yang
Guisong Liu,https://www.google.com/search?q=Guisong Liu
#52,https://ojs.aaai.org/index.php/AAAI/article/view/32025
Whole Genome Transformer for Gene Interaction Effects in Microbiome Habitat Specificity,https://papers.cool/venue/32025@AAAI
Zhufeng Li,https://www.google.com/search?q=Zhufeng Li
Sandeep Suresh Cranganore,https://www.google.com/search?q=Sandeep Suresh Cranganore
Nicholas Youngblut,https://www.google.com/search?q=Nicholas Youngblut
Niki Kilbertus,https://www.google.com/search?q=Niki Kilbertus
#53,https://ojs.aaai.org/index.php/AAAI/article/view/32026
SCALM: Detecting Bad Practices in Smart Contracts Through LLMs,https://papers.cool/venue/32026@AAAI
Zongwei Li,https://www.google.com/search?q=Zongwei Li
Xiaoqi Li,https://www.google.com/search?q=Xiaoqi Li
Wenkai Li,https://www.google.com/search?q=Wenkai Li
Xin Wang,https://www.google.com/search?q=Xin Wang
#54,https://ojs.aaai.org/index.php/AAAI/article/view/32027
An Evaluation Framework for Product Images Background Inpainting Based on Human Feedback and Product Consistency,https://papers.cool/venue/32027@AAAI
Yuqi Liang,https://www.google.com/search?q=Yuqi Liang
Jun Luo,https://www.google.com/search?q=Jun Luo
Xiaoxi Guo,https://www.google.com/search?q=Xiaoxi Guo
