Title,Authors,Year,Citation_Count,Venue,Link,Abstract,Relevance_Score,Is_Relevant,Relevance_Explanation,Key_Topics,Confidence,Analysis_Status,Search_Keyword,Scraped_At
Analyzing teacher competency with TPACK for K-12 AI education,Y Jang; S Choi; H Jung,2021.0,127,"S Kim, Y Jang, S Choi, W Kim, H Jung, S Kim…",https://link.springer.com/article/10.1007/s13218-021-00731-9,"… AI taught to K-12. Based on the findings, we propose teacher competency for K-12 AI education by analyzing AI … We conclude that teachers who teach AI to K-12 students require TPACK …",0.95,True,"The paper directly addresses K-12 AI education by analyzing teacher competency using the TPACK framework, making it highly aligned with the keyword's focus on K-12 education and AI integration.",K-12 AI education; teacher competency; TPACK framework; AI curriculum development; pedagogical content knowledge,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528555
Artificial intelligence applications in K-12 education: A systematic literature review,M Zafari; JS Bazargani; A Sadeghi-Niaraki,2022.0,188,"M Zafari, JS Bazargani, A Sadeghi-Niaraki…",https://ieeexplore.ieee.org/abstract/document/9785805/,"… In this systematic review, the integration of AI and k-12 education is being investigated in terms of the application of the proposed systems, the role and type of AI, and targeted course …",1.0,True,"The paper directly focuses on the integration of artificial intelligence in K-12 education, aligning perfectly with all components of the keyword.",AI applications in K-12; systematic literature review; AI role and types in education; targeted courses; educational technology integration,0.95,success,"K12 education, AI, education",2025-08-31T00:41:48.528560
"Teaching AI to K-12 learners: Lessons, issues, and guidance",S Grover,2024.0,57,S Grover,https://dl.acm.org/doi/abs/10.1145/3626252.3630937,… education conference. Roughly 5 years into a period of intense research and development in K-12 AI/ML education… 2 decades of K-12 CS education research that K-12 AI education will …,0.95,True,"The paper directly addresses K-12 AI education, explicitly combining all three keyword elements through its focus on teaching AI concepts to K-12 learners and drawing from CS education research.",K-12 AI curriculum; machine learning education; CS education integration; pedagogical approaches; educational research synthesis,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528563
Artificial Intelligence in K-12 Education: eliciting and reflecting on Swedish teachers' understanding of AI and its implications for teaching & learning,J Velander; MA Taiye; N Otero; M Milrad,2024.0,180,"J Velander, MA Taiye, N Otero, M Milrad",https://link.springer.com/article/10.1007/s10639-023-11990-4,"… how to inform and teach AI in K-12 education. As AI is a new topic not only for pupils in K-12 but also for teachers, new skill sets are required that enable critical engagement with AI. …",0.95,True,"The paper directly addresses the intersection of AI and K-12 education by examining teachers' understanding and pedagogical implications, aligning perfectly with all three keywords.",AI literacy in K-12; teacher professional development for AI; critical engagement with AI technologies; curriculum integration of AI; teaching and learning implications,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528566
AI literacy in K-12: a systematic literature review,L Casal-Otero; A Catala; C Fernández-Morante,2023.0,527,"L Casal-Otero, A Catala, C Fernández-Morante…",https://link.springer.com/article/10.1186/s40594-023-00418-7,"… Thus, AI literacy is a pedagogical and cognitive challenge at the K-12 level. This study aimed to understand how AI is being integrated into K-12 education worldwide. We conducted a …",0.95,True,"The paper directly focuses on AI integration in K-12 education through a systematic review, aligning perfectly with all three keywords in scope, methodology, and application.",AI literacy; K-12 curriculum integration; pedagogical challenges; global AI education practices; systematic literature review,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528569
Envisioning AI for K-12: What should every child know about AI?,D Touretzky; C Gardner-McCune; F Martin,2019.0,986,"D Touretzky, C Gardner-McCune, F Martin…",https://ojs.aaai.org/index.php/AAAI/article/view/5053,"… K-12 computing education, the AI for K-12 guidelines will define what students in each grade band should know about artificial intelligence, … the groundwork for AI education in K12, but …",0.95,True,"The paper directly focuses on developing AI education guidelines for K-12 students, aligning perfectly with all three keywords through its explicit discussion of curriculum standards and implementation in primary/secondary education.",K-12 AI curriculum standards; AI literacy for children; Grade-band learning objectives; Computing education integration; Foundational AI concepts,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528572
Designing for human–AI complementarity in K-12 education,K Holstein; V Aleven,2022.0,131,"K Holstein, V Aleven",https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/view/7399,"… K-12 classrooms, we observed the interplay of human and AI decision-making under real-world conditions, refining the design of Lumilo based on our observations to shape human–AI …",0.95,True,"The paper directly addresses the integration of AI in K-12 education through empirical classroom observations and design refinements, aligning perfectly with all three keywords.",human-AI complementarity; K-12 classroom decision-making; AI tool design (Lumilo); real-world educational AI implementation; teacher-AI collaboration,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528575
Ethical principles for artificial intelligence in K-12 education.,C Adams; P Pente; G Lemermeyer,2023.0,316,"C Adams, P Pente, G Lemermeyer…",https://concetticontrastivi.org/wp-content/uploads/2024/03/1-s2.0-s2666920x23000103-main.pdf,"… education has … AI ethics policy development for children and K-12 education. To accomplish this, we located four recent and globally relevant Artificial Intelligence in K12 Education (…",0.95,True,"The paper directly addresses AI in K-12 education, focusing on ethical principles and policy development, which aligns perfectly with the keyword's scope.",AI ethics; K-12 education policy; artificial intelligence in education; child-focused AI guidelines; global AI education frameworks,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528580
Artificial intelligence in education: Addressing ethical challenges in K-12 settings,S Akgun; C Greenhow,2022.0,1435,"S Akgun, C Greenhow",https://link.springer.com/article/10.1007/s43681-021-00096-7,… term “K–12 education” to refer to students’ education in … education or pre-college level schooling in other countries. These AI systems can increase the capacity of K-12 educational …,0.95,True,"The paper directly addresses AI applications and ethical considerations within K-12 education, aligning perfectly with all three keywords in scope, methodology, and conceptual focus.",AI in K-12 education; ethical challenges; educational technology integration; policy implications; student data privacy,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528583
Teaching machine learning in K–12 classroom: Pedagogical and technological trajectories for artificial intelligence education,M Tedre; T Toivonen; J Kahila; H Vartiainen,2021.0,320,"M Tedre, T Toivonen, J Kahila, H Vartiainen…",https://ieeexplore.ieee.org/abstract/document/9490241/,"… In K–12 education, most AI-related initiatives have historically been concerned with 1) AI-based tools to support learning, 2) AI-based tools for studying learning processes, and 3) AI to …",0.95,True,"The paper directly addresses the integration of AI in K-12 education, focusing on pedagogical and technological approaches, which aligns perfectly with the keyword's scope.",AI education in K-12; pedagogical strategies for AI; machine learning teaching; AI-based learning tools; K-12 curriculum development,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528585
Broadening artificial intelligence education in K-12: Where to start?,GKW Wong; X Ma; P Dillenbourg,2020.0,268,"GKW Wong, X Ma, P Dillenbourg, J Huan",https://dl.acm.org/doi/abs/10.1145/3381884,"… in K-12 education? To begin with, it could be oriented through building a clear scope of AI literacy for K-12, and categorized into three dimensions: AI concepts, AI applications, and …",0.95,True,"The paper directly addresses AI education in K-12 settings, focusing on AI literacy dimensions and curriculum development, which aligns perfectly with the keyword's focus on K12 education and AI integration.",AI literacy; K-12 curriculum; AI concepts; AI applications; educational scope,0.98,success,"K12 education, AI, education",2025-08-31T00:41:51.252711
An investigation of barriers to Hong Kong K-12 schools incorporating Artificial Intelligence in education,T Wang,2021.0,174,"T Wang, ECK Cheng",https://www.sciencedirect.com/science/article/pii/S2666920X21000254,"… number of K-12 schools are … from AI, Learning about AI, and Learning with AI. A collective case study, which examined the perceived barriers to AIED incorporation in Hong Kong K-12 …",0.95,True,"The paper directly investigates the integration of artificial intelligence in K-12 educational settings, explicitly addressing both AI and education within the K-12 context through empirical research on barriers to implementation.",K-12 education; Artificial Intelligence in education; Barriers to AI adoption; Hong Kong educational context; Case study methodology,0.98,success,"K12 education, AI, education",2025-08-31T00:41:51.252721
AI education for K-12: a survey,N Wang; J Lester,2023.0,6,"N Wang, J Lester",https://link.springer.com/chapter/10.1007/978-3-031-36336-8_6,"… on AI education programs that engage K-12 students in hands-on experience to learn AI, and … This survey on the current research in K-12 AI education is an attempt to serve as a starting …",0.95,True,"The paper directly focuses on AI education programs for K-12 students, aligning perfectly with the keyword's components of K12 education, AI, and education through its survey methodology and conceptual emphasis.",K-12 AI education; hands-on learning experiences; survey of current research; educational programs; student engagement,0.98,success,"K12 education, AI, education",2025-08-31T00:41:51.252727
The ethics of using AI in K-12 education: A systematic literature review,A Gouseti,2025.0,21,"A Gouseti, F James, L Fallin…",https://www.tandfonline.com/doi/abs/10.1080/1475939X.2024.2428601,"… Instead, we will look in brief at relevant AI ethics policy guidance specific to K-12 education, acknowledging that while these constitute the ‘known unknowns’ of AIED ethics, there are …",0.9,True,"The paper directly addresses AI in K-12 education through a systematic review of ethics, aligning perfectly with all three keywords in scope and application.",AI ethics in education; K-12 policy guidance; systematic literature review; AI educational technology; ethical implications of AIED,0.95,success,"K12 education, AI, education",2025-08-31T00:41:51.252730
Affordances and challenges of artificial intelligence in K-12 education: A systematic review,H Crompton; MV Jones,2024.0,212,"H Crompton, MV Jones, D Burke",https://www.tandfonline.com/doi/abs/10.1080/15391523.2022.2121344,… AI into disciplinary areas. This paper focuses on AI in Education (AIEd) and how AI is explicitly used within the educational context. AIEd is used throughout the paper referring to …,0.95,True,"The paper directly addresses the intersection of AI and K-12 education through a systematic review, explicitly focusing on AIEd applications and challenges within this specific educational context.",AI in K-12 education; systematic review of AIEd; educational technology integration; AI affordances and challenges; disciplinary AI applications,0.98,success,"K12 education, AI, education",2025-08-31T00:41:51.252733
Artificial intelligence applications to support K-12 teachers and teaching,,2019.0,334,RF Murphy,https://www.jstor.org/stable/pdf/resrep19907,"… The remainder of this paper focuses on successful and promising applications of narrow AI in education to augment teacher capacity, highlighting both their benefits to teaching and …",0.95,True,"The paper directly addresses the intersection of AI applications and K-12 education, focusing on augmenting teacher capacity and teaching processes, which aligns perfectly with all three keywords.",narrow AI in education; teacher capacity augmentation; K-12 teaching support; AI benefits for educators; educational technology applications,0.98,success,"K12 education, AI, education",2025-08-31T00:41:51.252736
Transforming K-12 education: A systematic review of AI integration,GS Semwaiko; WH Chao,2024.0,7,"GS Semwaiko, WH Chao, CH Yang",https://www.researchgate.net/profile/Godfrey-Semwaiko/publication/386167786_Transforming_K-12_education_A_systematic_review_of_AI_integration/links/674700a23d17281c7de2dc9b/Transforming-K-12-education-A-systematic-review-of-AI-integration.pdf,"… This paper examines the progression of AI applications in K–12 education from the 1980s, specifically focusing on the transition from Computer-Assisted Instruction (CAI) to Intelligent …",0.95,True,"The paper directly focuses on AI integration in K-12 education, with explicit thematic alignment to all three keywords through its systematic review of historical and current applications.",AI in K-12 education; Computer-Assisted Instruction (CAI); Intelligent Tutoring Systems; Educational technology evolution; Systematic review methodology,0.98,success,"K12 education, AI, education",2025-08-31T00:41:51.252740
"Designing AI learning experiences for K-12: Emerging works, future opportunities and a design framework",X Zhou; J Van Brummelen; P Lin,2009.0,134,"X Zhou, J Van Brummelen, P Lin",https://arxiv.org/abs/2009.10228,"… of K-12 AI and education literature to … K-12 AI education research using the AI literacy framework, point out needs specific to a K-12 audience, identify opportunities for future K-12 AI …",0.95,True,"The paper directly focuses on designing AI learning experiences for K-12 education, explicitly addressing AI literacy and educational frameworks within this context.",K-12 AI education; AI literacy framework; design framework for learning experiences; future opportunities in AI education; K-12 audience-specific needs,0.98,success,"K12 education, AI, education",2025-08-31T00:41:51.252744
Commentary for the international journal of artificial intelligence in education special issue on k-12 AI education,HC Lane,2023.0,14,HC Lane,https://link.springer.com/article/10.1007/s40593-023-00359-w,"… Issue on K-12 AI Education. The articles offer compelling motivation for early AI education and … the articles in terms of the goals to address AI awareness, knowledge, skills, and ethics. …",0.95,True,"The paper directly addresses K-12 AI education, focusing on awareness, knowledge, skills, and ethics, aligning perfectly with the research keyword.",K-12 AI education; AI awareness; AI ethics; early AI education; AI curriculum development,0.98,success,"K12 education, AI, education",2025-08-31T00:41:51.252747
THE AI REVOLUTION IN K-12 EDUCATION: ARE EDUCATORS READY?,,2025.0,0,"I Caruana, R Gilar-Corbí, M Palomar",https://library.iated.org/view/CARUANA2025AIR,"… educational sector is undergoing significant changes, as AI … of AI in early education, focusing on the readiness of K-12 … It highlights the challenges and opportunities AI presents in the …",0.95,True,"The paper directly addresses AI integration in K-12 education, explicitly matching all keyword components with a focus on educator readiness, challenges, and opportunities.",AI in K-12 education; Educator readiness for AI; Challenges of AI adoption; Opportunities of AI in classrooms; Early education AI integration,0.98,success,"K12 education, AI, education",2025-08-31T00:41:51.252751
Engaging teachers to co-design integrated AI curriculum for K-12 classrooms,P Lin; J Van Brummelen,2021.0,250,"P Lin, J Van Brummelen",https://dl.acm.org/doi/abs/10.1145/3411764.3445377,… for formal K-12 education to prioritize AI literacy and teach children to interact with AI using a … The AI4K12 research community has also published guidelines for what AI concepts K-12 …,0.95,True,"The paper directly focuses on integrating AI into K-12 education through curriculum co-design with teachers, aligning perfectly with all three keywords.",AI literacy; K-12 curriculum design; teacher engagement; AI4K12 guidelines; formal education integration,0.98,success,"K12 education, AI, education",2025-08-31T00:41:51.252754
Emerging technologies in K–12 education: A future HCI research agenda,RC Smith; MM Schaper,2023.0,131,"M Van Mechelen, RC Smith, MM Schaper…",https://dl.acm.org/doi/abs/10.1145/3569897,"… The aim of this article is to provide a state-of-the-art review of emerging technologies – and of AI, ML, AR, VR, and IoT in particular – in K–12 education (see the typology of reviews by […",0.9,True,"The paper directly addresses AI in K-12 education as a core focus, with explicit mention in both title and abstract, positioning it as a key emerging technology in this educational context.",AI in K-12 education; emerging educational technologies; human-computer interaction; machine learning applications; technology integration in schools,0.95,success,"K12 education, AI, education",2025-08-31T00:41:51.252757
"Scientific practices for understanding, applying and creating with artificial intelligence in K‐12 education: A scoping review",J Alé; R Araya,2025.0,0,"J Alé, B Ávalos, R Araya",https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1002/rev3.70098,"… integration of artificial intelligence (AI) tools into scientific education practices in … AI tools were selected. The studies were coded based on the type of AI, the type of scientific practice, AI …",0.95,True,"The paper directly focuses on AI integration in K-12 education, specifically examining scientific practices, tools, and applications, which aligns perfectly with the keyword's scope.",AI tools in education; K-12 scientific practices; AI integration methods; Educational applications of AI; Scoping review methodology,0.98,success,"K12 education, AI, education",2025-08-31T00:41:51.252760
Identification and evaluation of technology trends in K-12 education from 2011 to 2021,AK Dubé; R Wen,2022.0,112,"AK Dubé, R Wen",https://link.springer.com/article/10.1007/s10639-021-10689-8,"… of educational technology trends in K-12 education from 2011 … predicted that AI would have an impact on education in the … the AI field that occurred in March of 2016, when Google’s AI …",0.8,True,"The paper directly analyzes technology trends in K-12 education with explicit focus on AI's impact, aligning thematically and conceptually with the keywords.",K-12 educational technology trends; AI impact on education; historical analysis of edtech; technology adoption patterns; future educational predictions,0.9,success,"K12 education, AI, education",2025-08-31T00:41:51.252763
A phenomenographic approach on teacher conceptions of teaching Artificial Intelligence (AI) in K-12 schools,CS Chai; TKF Chiu; I King,2023.0,175,"KW Yau, CS Chai, TKF Chiu, H Meng, I King…",https://link.springer.com/article/10.1007/s10639-022-11161-x,"… AI K-12 Education development for 4 different parties: teacher educators / researchers, governments, school leaders and AI … AI, and assessing their own teaching, which nurture more AI …",0.9,True,"The paper directly addresses K-12 education and AI through its focus on teacher conceptions of teaching AI in K-12 schools, with explicit mentions of AI K-12 education development and assessment.",K-12 AI education; teacher conceptions of AI teaching; AI curriculum development; teaching assessment in AI; stakeholder roles in AI education,0.95,success,"K12 education, AI, education",2025-08-31T00:41:51.252766
Critical imaginaries and reflections on artificial intelligence and robots in postdigital K-12 education,S Hrastinski; AD Olofsson,2019.0,178,"S Hrastinski, AD Olofsson, C Arkenback…",https://link.springer.com/article/10.1007/s42438-019-00046-x,… : ‘Is it possible to create AI that is complex enough (for the educational environment)?’ Another example is: ‘What is ‘good’ AI?’. We have to find AI that will fit education within K12 …,0.9,True,"The paper directly addresses the intersection of AI and K-12 education, focusing on critical reflections and suitability of AI in this specific educational context.",AI in K-12 education; educational technology ethics; postdigital learning environments; AI complexity for education; defining 'good' AI in schools,0.95,success,"K12 education, AI, education",2025-08-31T00:41:51.252769
Generative AI in K12: Analytics from early adoption,B Bolender,2024.0,2,"B Bolender, S Vispoel, G Converse…",https://dergipark.org.tr/en/pub/epod/article/1539710,"… at a use case of a K-12 educational service center in Texas that … educational trends and the introduction of technology-enhanced items (TEIs). The next question is, can a customized AI …",0.9,True,"The paper directly addresses K12 education through its case study in Texas and explicitly focuses on AI applications, specifically generative AI and technology-enhanced items, within educational contexts.",Generative AI; K12 education; educational technology; technology-enhanced items; early adoption analytics,0.95,success,"K12 education, AI, education",2025-08-31T00:41:51.252772
Exploring teachers' perceptions of artificial intelligence as a tool to support their practice in Estonian K-12 education,IA Chounta; E Bardone,2022.0,464,"IA Chounta, E Bardone, A Raudsep…",https://link.springer.com/article/10.1007/s40593-021-00243-5,… teachers’ perceptions about Artificial Intelligence (AI) as a tool to support teaching in Estonian K-12 education. Estonia is promoting technological innovation in education. According to …,0.9,True,"The paper directly focuses on AI applications in K-12 education by examining teachers' perceptions of AI as a support tool within Estonian K-12 classrooms, aligning perfectly with all three keyword components.",K-12 education; Artificial Intelligence in teaching; Teacher perceptions; Educational technology integration; Estonian education innovation,0.95,success,"K12 education, AI, education",2025-08-31T00:41:51.252776
Evaluating the Integration of Artificial Intelligence (AI) in K-12 Education,Z Unal,2024.0,3,"A Unal, Z Unal",https://www.learntechlib.org/p/224682/,"… K-12 teachers’ perceptions of using artificial intelligence (AI) in the classroom, aiming to understand their preparedness for professional development focused on AI … AI, awareness of AI …",0.9,True,"The paper directly focuses on AI integration in K-12 education, specifically examining teacher perceptions and professional development needs, which aligns perfectly with the keyword's components.",K-12 education; artificial intelligence (AI); teacher perceptions; professional development; classroom integration,0.95,success,"K12 education, AI, education",2025-08-31T00:41:51.252778
Development of K-12 Digital Culture Curriculum for AI Edcuation,JH Han,2022.0,1,"SB Shin, JH Han",,,0.95,True,"The paper directly focuses on developing a curriculum for AI education within K-12 settings, aligning perfectly with all three keywords by addressing educational content, target audience, and technological integration.",K-12 curriculum development; AI education integration; digital literacy; pedagogical strategies for AI; educational technology implementation,0.98,success,"K12 education, AI, education",2025-08-31T00:41:51.252781
Tooee: A novel scratch extension for K-12 big data and artificial intelligence education using text-based visual blocks,Y Park; Y Shin,2021.0,37,"Y Park, Y Shin",https://ieeexplore.ieee.org/abstract/document/9599669/,… can help K-12 students create their big data and AI … educational environments (Section V). • In order to verify that our extension is suitable for big data and artificial intelligence education …,0.9,True,"The paper directly focuses on developing an educational tool (Tooee) using visual blocks to teach AI and big data concepts specifically for K-12 students, aligning perfectly with all three keywords.",K-12 AI education; scratch extension for teaching; big data and AI concepts; text-based visual blocks; educational tool development,0.95,success,"K12 education, AI, education",2025-08-31T00:41:53.340575
The landscape of teaching resources for AI education,S Druga; AJ Ko,2022.0,112,"S Druga, N Otero, AJ Ko",https://dl.acm.org/doi/abs/10.1145/3502718.3524782,… teaching machine learning in K-12 [27] or by doing a systematic review of research efforts on AI education[28]. For our analysis we choose to analyse how existing AI resources support …,0.9,True,"The paper directly addresses AI education resources in K-12 settings, explicitly mentioning machine learning teaching and systematic reviews of AI education efforts, which aligns perfectly with the keyword focus.",K-12 AI education; teaching machine learning; systematic review of AI resources; educational resource analysis; AI curriculum support,0.95,success,"K12 education, AI, education",2025-08-31T00:41:53.340588
Exploring the AI competencies of elementary school teachers in South Korea,K Kim; K Kwon,2023.0,164,"K Kim, K Kwon",https://www.sciencedirect.com/science/article/pii/S2666920X23000164,"Although the importance of K–12 artificial intelligence (AI) education grows, the lack of teacher readiness hinders the integration of AI in schools. To address this issue, this study aimed …",0.9,True,"The paper directly addresses K12 education by focusing on elementary school teachers, explicitly discusses AI competencies in education, and centers on the integration of AI in schools, aligning perfectly with all three keywords.",K12 AI education; teacher readiness for AI; AI competencies; elementary education; AI integration in schools,0.95,success,"K12 education, AI, education",2025-08-31T00:41:53.340592
Artificial Intelligence teaching and learning in K-12 from 2019 to 2022: A systematic literature review,S Rizvi; J Waite; S Sentance,2023.0,149,"S Rizvi, J Waite, S Sentance",https://www.sciencedirect.com/science/article/pii/S2666920X23000243,… Artificial Intelligence (AI) teaching and learning in the K-12 setting. While some work has explored the educational … on the effectiveness of such AI education interventions. The primary …,0.95,True,"The paper directly focuses on AI teaching and learning within K-12 education, aligning perfectly with all three keywords through its systematic review of interventions and effectiveness in this specific domain.",AI education interventions; K-12 teaching strategies; systematic literature review; educational effectiveness; AI learning outcomes,0.98,success,"K12 education, AI, education",2025-08-31T00:41:53.340595
A systematic review of AI-driven intelligent tutoring systems (ITS) in K-12 education,M Deslandes Martineau,2025.0,4,"A Létourneau, M Deslandes Martineau…",https://www.nature.com/articles/s41539-025-00320-7,… educational value remains unclear. This systematic review aims to identify the effects of ITSs on K-12 … ITSs on learning and performance in K-12 education are generally positive but are …,0.95,True,"The paper directly focuses on AI-driven intelligent tutoring systems within K-12 education, aligning perfectly with all three keywords through its systematic review methodology and explicit examination of educational applications.",Intelligent Tutoring Systems; K-12 Education; AI in Education; Learning Outcomes; Systematic Review,0.98,success,"K12 education, AI, education",2025-08-31T00:41:53.340598
Understanding K-12 Teachers' Needs for AI Education: A Survey-Based Study,J Femiani; D Inclezan,2025.0,0,"N Bautista, J Femiani, D Inclezan",https://ojs.aaai.org/index.php/AAAI/article/view/35183,"… This study seeks to identify K-12 teachers’ selfidentified needs regarding AI education and … (PD) for AI integration. We surveyed 34 K-12 teachers to assess their knowledge of AI, identify …",0.95,True,"The paper directly focuses on K-12 teachers' needs for AI education, explicitly addressing all three components of the keyword through its survey-based study on AI integration in K-12 educational contexts.",K-12 teacher professional development; AI education integration; teacher knowledge assessment; survey methodology in education; AI curriculum needs,0.98,success,"K12 education, AI, education",2025-08-31T00:41:53.340602
