Title,Authors,Year,Citation_Count,Venue,Link,Abstract,Relevance_Score,Relevance_Explanation,Key_Topics,Confidence
Comprehensive analysis of AI-based math learning platforms for K-12 education,,2024.0,2,"S Yoon, S Min, D Kang",https://www.learntechlib.org/p/224989/,… Our findings indicate that the majority of AIbased math solutions currently facilitate a personalized … integration of AI-driven educational technologies to improve math education practices. …,0.95,"The paper directly focuses on AI applications in K-12 math education, with explicit alignment to all three keyword components through its analysis of AI-based learning platforms.",AI-based math learning platforms; personalized learning in K-12; educational technology integration; math education improvement; K-12 educational practices,0.98
The use of generative artificial intelligence in K-12 education: An introduction to the special issue of the Journal of Educational Research,LS Nadelson,2025.0,0,LS Nadelson,https://www.tandfonline.com/doi/abs/10.1080/00220671.2025.2514913,"… Educational Research to research reports on the potential and current applications of GAI in K-12 educational … practices that include integrating GAI in K-12 education. For this issue, I …",0.95,"The paper directly focuses on generative AI applications in K-12 education, with explicit thematic alignment to all three keywords through its examination of AI integration in educational practices.",generative artificial intelligence; K-12 education integration; educational research; AI applications in teaching; GAI in classroom practices,0.98
Integration of Artificial Intelligence in K-12: Analysis of a Three-Year Pilot Study,G Zaharija; S Mladenović,2025.0,0,"B Lišnić, G Zaharija, S Mladenović",https://www.mdpi.com/2673-2688/6/3/49,"… This raises the question of how AI can be integrated into education, given the constraints of … to incorporate AI topics into the K-12 curriculum [3]. Existing curricula designed to develop AI …",0.95,"The paper directly addresses the integration of artificial intelligence into K-12 education through a multi-year pilot study, aligning perfectly with all three keyword components.",AI curriculum integration; K-12 educational technology; pilot study methodology; AI literacy development; educational constraints analysis,0.98
Comprehensive analysis of AI-based math learning platforms for K-12 education,,2024.0,2,"S Yoon, S Min, D Kang",https://www.learntechlib.org/p/224989/,… Our findings indicate that the majority of AIbased math solutions currently facilitate a personalized … integration of AI-driven educational technologies to improve math education practices. …,0.95,"The paper directly focuses on AI applications in K-12 education, specifically analyzing AI-based math learning platforms, which aligns perfectly with all components of the keyword.",AI-based educational platforms; K-12 math education; personalized learning; educational technology integration; AI-driven teaching practices,0.98
Integration of Artificial Intelligence in K-12: Analysis of a Three-Year Pilot Study,G Zaharija; S Mladenović,2025.0,0,"B Lišnić, G Zaharija, S Mladenović",https://www.mdpi.com/2673-2688/6/3/49,"… This raises the question of how AI can be integrated into education, given the constraints of … to incorporate AI topics into the K-12 curriculum [3]. Existing curricula designed to develop AI …",0.95,"The paper directly addresses the integration of artificial intelligence into K-12 education through a multi-year pilot study, aligning perfectly with all three keyword components.",AI curriculum integration; K-12 educational technology; AI literacy development; pilot program evaluation; educational constraints analysis,0.98
Strategic Integration of Artificial Intelligence in US K-12 Education: A Comprehensive Review and Policy Roadmap,,2025.0,0,S Joshi,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5279570,"… of Artificial Intelligence (AI) integration in K-12 education, … in AI adoption across primary and secondary education systems. This … of Artificial Intelligence (AI) integration in K-12 education, …",0.95,"The paper directly focuses on AI integration in K-12 education, with explicit mentions in both title and abstract, making it highly aligned with the keyword's semantic and thematic scope.",AI adoption in primary education; AI integration strategies in secondary schools; policy frameworks for educational AI; review of AI applications in K-12; US education system AI implementation,0.98
Validating student AI competency self-efficacy (SAICS) scale and its framework: TKF Chiu et al.,TKF Chiu; M Çoban; IT Sanusi,2025.0,3,"TKF Chiu, M Çoban, IT Sanusi…",https://link.springer.com/article/10.1007/s11423-025-10512-y,"… an AI competency framework for K-12 students … K–12 AI education professionals; that is, they possess extensive knowledge and expertise in developing AI learning activities for K–12 …",0.95,"The paper directly focuses on developing and validating an AI competency framework and self-efficacy scale specifically for K-12 students, with explicit application by K-12 AI education professionals.",K-12 AI education; student AI competency; self-efficacy scale validation; AI learning activities development; K-12 education professionals,0.98
Validating student AI competency self-efficacy (SAICS) scale and its framework: TKF Chiu et al.,TKF Chiu; M Çoban; IT Sanusi,2025.0,3,"TKF Chiu, M Çoban, IT Sanusi…",https://link.springer.com/article/10.1007/s11423-025-10512-y,"… an AI competency framework for K-12 students … K–12 AI education professionals; that is, they possess extensive knowledge and expertise in developing AI learning activities for K–12 …",0.95,"The paper directly focuses on developing and validating an AI competency framework and self-efficacy scale specifically for K-12 students, with explicit application by K-12 AI education professionals.",K-12 AI education; student AI competency framework; self-efficacy scale validation; AI learning activities development; K-12 education professional expertise,0.98
"The impact of an artificial intelligence (AI) project-based learning (PBL) course on middle-school students' interest, knowledge, and career aspiration in the AI …",,2023.0,11,R Aliabadi,https://search.proquest.com/openview/498751b4b19f631d901e1dfa68e70b52/1?pq-origsite=gscholar&cbl=18750&diss=y,… These findings provide insights into how the current research relates to and contributes to the ongoing discourse around AI education for K-12 and middle-school students. Keywords: …,0.95,"The paper directly addresses AI education within K-12 settings, specifically focusing on middle-school students, project-based learning, and impacts on interest and career aspirations, aligning perfectly with the keyword's scope.",AI education; K-12 students; project-based learning; career aspirations; middle-school curriculum,0.98
Co-designing AI literacy for K-12 education,L Mannila,2024.0,0,L Mannila,https://dl.acm.org/doi/abs/10.1145/3677619.3678716,"… of introducing AI literacy in K-12 education, drawing on insights from previous computing-related K-12 … Finally, we discuss the lessons learned and future ideas for AI in K-12 education. …",0.95,"The paper directly focuses on integrating AI literacy into K-12 education, with explicit mentions of both AI and K-12 education in its abstract and title, aligning perfectly with the keyword's scope.",AI literacy; K-12 curriculum design; computing education integration; pedagogical strategies for AI; future directions in educational AI,0.98
Developing middle school students' AI literacy,I Lee; S Ali; D DiPaola,2021.0,334,"I Lee, S Ali, H Zhang, D DiPaola…",https://dl.acm.org/doi/abs/10.1145/3408877.3432513,… AI activities in K-12 education echoes a more general demand for computational and scientific literacy among young people [42]. Yet AI literacy in K-12 is in its infancy and AI education …,0.95,"The paper directly addresses AI literacy development in K-12 education, with explicit focus on middle school students and AI activities, demonstrating perfect alignment with all three keyword components.",AI literacy; K-12 education; middle school students; AI activities; computational literacy,0.98
Exploring AI Literacy in Swedish K-12 Education,J Velander; M Milrad,2024.0,0,"J Velander, M Milrad, N Otero","https://books.google.com/books?hl=en&lr=&id=eKokEQAAQBAJ&oi=fnd&pg=PT162&dq=K12+education,+AI,+education&ots=BTugSAfwPa&sig=pyrVs3pt6r7YHqNdZxPuI-WJXVo","… to AI literacy in Swedish K-12 education, this study offered insights into students’(pre) conceptions of AI and further explored the relationships between different AI … reasoning about AI in …",0.95,"The paper directly addresses AI literacy within K-12 education, aligning perfectly with the keyword's focus on AI integration and educational practices in this specific context.",AI literacy; K-12 education; student conceptions of AI; AI reasoning; Swedish educational context,0.98
"Perceptions, strategies, and challenges of teachers in the integration of artificial intelligence in primary education: A systematic review",OA Garcia,2025.0,6,"OA Garcia, MCR García…",https://www.informingscience.org/Publications?Search=elementary,"… challenges in integrating artificial intelligence (AI) into K-12 education and identify patterns … AI on education (2014–2024). Adhering to PRISMA 2020 guidelines, the study uncovers ... …",0.95,"The paper directly focuses on AI integration in K-12 education, with explicit mention of both keywords in the title and abstract, and systematically reviews teacher perceptions and challenges in this specific context.",AI integration in K-12; teacher perceptions of AI; challenges in AI education; systematic review methodology; primary education strategies,0.98
SWOT Analysis of the Use of Artificial Intelligence Technologies in K-12 Education.,Y Nafidi,2025.0,0,"M Alhiane, Y Nafidi",https://www.ceeol.com/search/article-detail?id=1340890,"… factors of using AI technologies in K–12 education are described … Indeed, AI excels at analyzing vast volumes of educational … -existing frameworks of technology integration in education. …",0.95,"The paper directly addresses the intersection of AI technologies and K-12 education through a SWOT analysis, explicitly focusing on application factors and integration frameworks within this specific educational context.",AI in K-12 education; technology integration frameworks; SWOT analysis of educational AI; factors influencing AI adoption; educational data analysis,0.98
A meta-review of literature on educational approaches for teaching AI at the K-12 levels in the Asia-Pacific region,J Su; Y Zhong; DTK Ng,2022.0,255,"J Su, Y Zhong, DTK Ng",https://www.sciencedirect.com/science/article/pii/S2666920X22000200,… research on AI curriculum for K-12 classrooms was … AI learning design and activities in the Asia-Pacific region. This meta-review examined 14 research papers on AI curriculum for K-12 …,0.95,"The paper directly focuses on AI curriculum and learning design for K-12 education, with explicit examination of research in this domain, making it highly aligned with the keyword.",AI curriculum; K-12 classrooms; educational approaches; AI learning design; Asia-Pacific region,0.98
Framing AI Literacy for K-12 Education: Insights from Multi-Perspective and International Stakeholders,L Mannila; J Hallström; C Nordlöf; F Heintz,2025.0,3,"L Mannila, J Hallström, C Nordlöf, F Heintz…",https://dl.acm.org/doi/abs/10.1145/3716640.3716650,"… In this paper, we frame AI literacy for K-12 education based on … to AI and education. Through an online survey, they shared their perspectives on key AI competencies in K-12 education, …",0.95,"The paper directly addresses AI literacy in K-12 education through stakeholder perspectives and competency frameworks, aligning perfectly with all three keywords.",AI literacy; K-12 competencies; stakeholder perspectives; educational frameworks; AI integration,0.98
Developing K-12 Education Guidelines for Artificial Intelligence,DS Touretzky,2019.0,1,DS Touretzky,https://ui.adsabs.harvard.edu/abs/2019nsf....1846073T/abstract,… The project also collaborated with the broader CS education community through ECEP and CS4ALL to incorporate AI into CS education. Several national leaders in AI education arose …,0.95,"The paper directly addresses the development of AI guidelines for K-12 education, explicitly integrating AI into computer science curricula through national collaborations.",K-12 education guidelines; Artificial Intelligence integration; Computer Science education; National AI education leadership; Curriculum development,0.98
"Cultivating Students Toward Knowledge Enrichment: Benefits, Concerns, and Two Solutions for AI in K-12 Education",,2024.0,0,M Afifi,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003440192-2/cultivating-students-toward-knowledge-enrichment-maziyar-afifi,"… AI and new educational technologies will impact all of these various factors in relation to … the role that AI can play in K- 12 education by presenting four benefits of AI for student learning, …",0.95,"The paper directly addresses the intersection of AI and K-12 education, focusing on benefits and solutions for student learning, which aligns perfectly with the keyword's scope.",AI in K-12 education; student learning benefits; educational technology integration; AI solutions for classrooms; knowledge enrichment strategies,0.98
From entry to transformation: Exploring AI integration in teachers' K–12 assessment practices,K Ciampa; Z Wolfe,2025.0,5,"K Ciampa, Z Wolfe, M Hensley",https://www.tandfonline.com/doi/abs/10.1080/1475939X.2024.2413378,"… to AI in K–12 education. A qualitative approach was chosen to understand how K–12 teachers discuss and utilise AI tools … groups which focused on AI in K–12 education, from which we …",0.95,"The paper directly focuses on AI integration in K-12 education, specifically examining teachers' assessment practices, which aligns perfectly with all three keyword components.",AI in K-12 education; teacher assessment practices; AI tool utilization; qualitative research in education; educational transformation through AI,0.98
Fostering Responsible AI Literacy: A Systematic Review of K-12 AI Ethics Education,M Ma; DTK Ng; Z Liu; GKW Wong,2025.0,0,"M Ma, DTK Ng, Z Liu, GKW Wong",https://www.sciencedirect.com/science/article/pii/S2666920X25000621,"AI ethics education remains significantly underprioritized in classroom practice, despite the global push for AI literacy in K-12 curricula. This systematic review analyzes 68 peer-…",0.95,"The paper directly addresses AI literacy and ethics education within K-12 curricula, aligning perfectly with the keyword's focus on K12 education and AI in education.",K-12 AI ethics education; AI literacy integration; systematic review methodology; curriculum development; responsible AI practices,0.98
Artificial intelligence application in K-12 education,C Fancy,2024.0,0,"AP Singh, S Mathur, C Fancy",https://pubs.aip.org/aip/acp/article-abstract/3075/1/020175/3305117,"… K-12 education system. In this literature review, we explore the relationship between AI and K-12 education … We examine the many applications of AI in education and organize them into …",0.95,"The paper directly focuses on the intersection of AI and K-12 education, with the title and abstract explicitly addressing applications and relationships within this domain.",AI applications in K-12 education; literature review on AI in education; integration of AI technologies in classrooms,0.98
Combining artificial intelligence and edge computing to reshape distance education (Case Study: K-12 Learners),C Labba; R Ben Atitallah,2022.0,9,"C Labba, R Ben Atitallah, A Boyer",https://link.springer.com/chapter/10.1007/978-3-031-11644-5_18,"… Secondly, we present a new scenario of using Edge AI with FL to predict k12-learners… AI based approach to reshape the distance education. In Sect. 4, we present the case study of K-12 …",0.95,"The paper directly addresses K-12 education through its case study, explicitly incorporates artificial intelligence (AI) in its methodology with Edge AI and federated learning, and focuses on reshaping distance education, making it highly relevant to all three keywords.",K-12 distance education; Edge AI applications; federated learning for education; AI-driven educational prediction; distance learning innovation,0.98
Integrating Generative AI Into K-12 Curriculums and Pedagogies in India: Opportunities and Challenges,DM Sharma; KV Ramana; R Jothilakshmi,2024.0,82,"DM Sharma, KV Ramana, R Jothilakshmi…",https://www.igi-global.com/chapter/integrating-generative-ai-into-k-12-curriculums-and-pedagogies-in-india/336035,"… Generative artificial intelligence (AI) can revolutionize K-12 education in India by enhancing curriculums and pedagogies. This chapter explores the principles of generative AI, including …",0.95,"The paper directly addresses the integration of AI (specifically generative AI) into K-12 education systems, aligning perfectly with all three keywords through its focus on curriculum enhancement, pedagogical applications, and contextual challenges in India.",Generative AI in education; K-12 curriculum integration; Pedagogical innovation; Educational technology adoption; AI implementation challenges,0.98
Research on the Current Situation and Implementation Strategies of Artificial Intelligence (AI) Education in K-12 Schools,,2022.0,0,"J Pan, X Lan",https://link.springer.com/chapter/10.1007/978-3-031-29016-9_44,"… AI technology, AI education in K-12 schools has shown new changes. Therefore, based on analyzing and summarizing the existing problems of AI education in K-12 … development of AI. …",0.95,"The paper directly addresses AI education in K-12 schools, aligning perfectly with all three keyword components through its focus on current implementation strategies and challenges.",K-12 AI education implementation; AI technology in schools; curriculum development for AI; pedagogical strategies for AI; barriers to AI education adoption,0.98
Research on the Current Situation and Implementation Strategies of Artificial Intelligence (AI) Education in K-12 Schools,,2022.0,0,"J Pan, X Lan",https://link.springer.com/chapter/10.1007/978-3-031-29016-9_44,"… AI technology, AI education in K-12 schools has shown new changes. Therefore, based on analyzing and summarizing the existing problems of AI education in K-12 … development of AI. …",0.95,"The paper directly addresses the intersection of AI and K-12 education, focusing on implementation strategies and current challenges, making it highly relevant to the specified keywords.",AI education implementation; K-12 curriculum integration; current challenges in AI education; strategies for AI adoption; educational technology development,0.98
Research on Adaptive Learning in K-12 Education in the Perspective of Teachers' Artificial Intelligence Literacy: Development; Technology; Improvement Strategies,,2023.0,4,"L Wang, Z Nie",https://ieeexplore.ieee.org/abstract/document/10261639/,"… As countries worldwide gradually enter the era of intelligent education, they have … ' artificial intelligence literacy (AI literacy). K12 education, as the most important part of the education …",0.95,"The paper directly addresses K-12 education and AI through its focus on adaptive learning and teachers' AI literacy, with explicit thematic and conceptual alignment to the keywords.",K-12 education; artificial intelligence literacy; adaptive learning; intelligent education; teacher professional development,0.98
"Empowering K-12 education with AI: By Thomas KF Chiu, London, Routledge, 2024, 230 pp.,£ 28, 79, ISBN: 978-1-003-49837-7",,2025.0,0,"Y Nufninu, MG Halim, MS Fobia",https://www.tandfonline.com/doi/full/10.1080/00220671.2025.2510385,"… AI’s application in primary and secondary education curricula. Hence, this book, Empowering K-12 Education with AI, is organized to explore the transformation of education through AI. …",0.95,"The paper directly focuses on AI's application in K-12 education, with explicit alignment to the keyword topics through its title, abstract, and stated exploration of educational transformation via AI.",AI in K-12 curricula; educational transformation through AI; primary and secondary education technology integration,0.98
"Artificial Intelligence Applications in K-12: Theories, Ethics, and Case Studies for Schools",H Crompton,2024.0,1,"H Crompton, D Burke","https://books.google.com/books?hl=en&lr=&id=eKokEQAAQBAJ&oi=fnd&pg=PT6&dq=K12+education,+AI,+education&ots=BTugSAfwP8&sig=1eBYIU8px9L7UEKjTUb1nk72Y-8",… Artificial Intelligence Applications in K-12 offers authentic instances of how AI systems can be integrated into K-12 education today. As AI technologies rapidly evolve and become more …,0.95,"The paper directly focuses on AI applications in K-12 education, with explicit alignment to all three keywords through theoretical frameworks, ethical considerations, and practical case studies.",AI integration in classrooms; K-12 educational technology; Ethical AI use in schools; Case studies of AI applications; Curriculum adaptation for AI,0.98
The Pros and Cons of AI in K-12 Education,B Patton,,0,"N Jana Ziegler, B Patton",https://nssascholars.org/wp-content/uploads/2024/11/NSSA.TechJouranl.Volume12.1.11.20.24.pdf#page=38,… K-12 education to see how different types of AI can be implemented in these classrooms daily. This paper focuses on the research studies in K-12 classrooms and whether AI … AI in K-12 …,0.95,"The paper directly addresses the implementation and impact of AI in K-12 education, with explicit focus on research studies in classrooms, aligning perfectly with all three keywords.",AI implementation in classrooms; K-12 education research; pros and cons of AI; daily educational applications; empirical classroom studies,0.98
Middle school students' perspectives on adopting generative AI in K-12 education,IO Adisa; AO Adefisayo,2025.0,2,"IO Adisa, AO Adefisayo",https://www.tandfonline.com/doi/abs/10.1080/00220671.2025.2510393,"… on responsible AI adoption in K-12 education by centering students’ voices in shaping AI’s … Students’ use of generative AI tools in this study took place in a supervised, educational …",0.95,"The paper directly addresses K-12 education and AI by examining student perspectives on generative AI adoption in middle school settings, with explicit focus on educational applications and responsible integration.",K-12 education; generative AI; student perspectives; responsible AI adoption; educational technology integration,0.98
An Interdisciplinary Approach to Enhancing AI Literacy in K-12 Science Education: Curriculum Integration and Pedagogical Framework,,2024.0,0,"Y Shi, R Liang, Y Xu",https://link.springer.com/chapter/10.1007/978-981-97-9255-9_16,"… By enhancing AI literacy into the K-12 science education, we are equipping students with the foundational knowledge and skills necessary to engage with emerging technologies. This …",0.95,"The paper directly focuses on integrating AI literacy into K-12 science education, aligning perfectly with the keywords through its explicit emphasis on AI in K-12 educational contexts.",AI literacy; K-12 science education; curriculum integration; pedagogical framework; emerging technologies,0.98
Day of AI Australia: Teacher Insights from a Nation-Wide AI Literacy Program for K-12 Students,J Renzella,2025.0,0,"N Banks, J Renzella",https://dl.acm.org/doi/abs/10.1145/3641555.3705158,"… AI education in Australian classrooms. We provide practical recommendations for integrating AI literacy into national and global curricula, with the goal of preparing students for the AI-…",0.95,"The paper directly focuses on implementing AI literacy in K-12 education through a national program, aligning perfectly with the keyword's scope of K12 education, AI, and education.",AI literacy; K-12 curriculum integration; teacher professional development; national education policy; student AI preparedness,0.98
A holistic approach to the design of artificial intelligence (AI) education for K-12 schools,TKF Chiu,2021.0,301,TKF Chiu,https://link.springer.com/article/10.1007/s11528-021-00637-1,"… key components: AI knowledge, AI processes, the impact of AI (… proposes a holistic approach to design AI K-12 curriculum. … how to design AI education for K-12 classrooms by applying …",0.95,"The paper directly focuses on designing AI education curricula specifically for K-12 schools, with explicit mentions of AI knowledge, processes, and classroom applications.",K-12 AI curriculum design; AI knowledge components; AI education implementation; Holistic educational approach; Classroom application strategies,0.98
Fostering AI Literacy: A Survey of Student Perceptions and Effective Practices in K-12 Machine Learning,,2024.0,2,"CL Pineda, AAK Ashar, J Liu",https://ieeexplore.ieee.org/abstract/document/10893365/,"… explore the integration of ML into K-12 education, focusing on understanding how intuition and agency develop in the context of ML systems within K-12 classrooms. By examining the …",0.95,"The paper directly addresses AI literacy and machine learning integration in K-12 education, aligning perfectly with all three keyword components through its focus on pedagogical practices and student perceptions.",AI literacy; machine learning education; K-12 curriculum integration; student perceptions; pedagogical practices,0.98
Teaching Machine Learning in K-12 Education: Systematic Review of Scientific Literature,A Sunday,2022.0,1,A Sunday,https://erepo.uef.fi/bitstream/handle/123456789/28167/urn_nbn_fi_uef-20221031.pdf?sequence=1,"… AI in K-12 education, ML in K-12, curriculum and tools for ML in K-12, and a summary of associated reviews on AI/ML in K-12… several pieces of literature on ML and AI in K-12 education. …",0.95,"The paper directly focuses on AI and machine learning in K-12 education through a systematic review of literature, aligning perfectly with all components of the keyword.",AI in K-12 education; machine learning curriculum; educational tools for ML; systematic review methodology; K-12 STEM integration,0.98
Explaining AI to Students: Cognitive Strategies for Teaching AI Concepts to K-12 Learners,,2024.0,0,NJ Besas,https://researchvision.us/index.php/cognify/article/view/55,"… Introducing artificial intelligence (AI) concepts to K-12 students requires thoughtful integration of … to make AI education accessible, engaging, and age-appropriate for K-12 learners. …",0.95,"The paper directly focuses on teaching AI concepts within K-12 education, aligning perfectly with all three keywords through its explicit discussion of pedagogical strategies and cognitive approaches for this demographic.",AI education; K-12 pedagogy; cognitive strategies; age-appropriate curriculum; teaching methodologies,0.98
EAGER: Collaborative Research: Building Capacity for K-12 Artificial Intelligence Education Research,JC Lester,2019.0,0,JC Lester,https://ui.adsabs.harvard.edu/abs/2019nsf....1938778L/abstract,"… The project will bring together experts in education research, AI, industry, and K-12 educational … AI education to K-12 classrooms. Education researchers will include leaders from AI in …",0.95,"The paper directly focuses on integrating AI education into K-12 settings, with explicit collaboration among education researchers, AI experts, and K-12 practitioners, aligning perfectly with all three keywords.",K-12 AI education; AI curriculum development; education research capacity building; interdisciplinary collaboration; classroom implementation,0.98
EAGER: Collaborative Research: Building Capacity for K-12 Artificial Intelligence Education Research,,2019.0,0,N Wang,https://ui.adsabs.harvard.edu/abs/2019nsf....1938758W/abstract,"… The project will bring together experts in education research, AI, industry, and K-12 educational … AI education to K-12 classrooms. Education researchers will include leaders from AI in …",0.95,"The paper directly focuses on integrating AI education into K-12 settings through collaborative research and capacity building, aligning perfectly with all three keywords.",K-12 AI education; collaborative research capacity; AI curriculum integration; education research leadership; industry-education partnership,0.98
Adapting K-12 AI Learning for Online Instruction. 2nd International Workshop on Education in Artificial Intelligence K-12,S Ali; D DiPaola; I Lee; D Jackson,2021.0,0,"S Ali, D DiPaola, I Lee, D Jackson, J Kiel…",https://par.nsf.gov/biblio/10252921,"… literacy education across all grade bands, and argue for the creation of research programs across four areas of AI education: (1) K-12 AI Learning & Technology; (2) K-12 AI Education …",0.95,"The paper directly focuses on K-12 AI education, explicitly addressing both AI integration and educational methodologies within K-12 settings, making it highly relevant to the keyword.",K-12 AI Learning; AI Education Research Programs; Online Instruction Adaptation; AI Literacy Education; Grade Band Implementation,0.98
Evidence-based advancement of teaching AI in K-12: an action research approach,F Jetzinger,2024.0,0,F Jetzinger,https://dl.acm.org/doi/abs/10.1145/3677619.3677641,… approaches to teaching AI in schools [… AI as a learning subject in K-12 education [5]. This article presents a study that aims to address this gap in order to enhance the lessons about AI …,0.95,"The paper directly focuses on teaching AI as a subject within K-12 education, aligning perfectly with all three keywords through its examination of pedagogical approaches and curriculum development.",AI curriculum design; K-12 AI education; action research methodology; teaching strategies for AI; evidence-based educational advancement,0.98
